Acteur,Nombre de films et séries,Films et séries
,4,"Julius Caesar, The Sun Was Setting, Crossroad Avenger: The Adventures of the Tucson Kid, Silver Needle in the Sky, Skip Taylor, Manhunt in Space, King Richard II, The Indiscreet Mrs. Jarvis, Mr. Sleeman Is Coming, The Pied Piper of Hamelin, Der Richter und sein Henker, Der Tod auf dem Rummelplatz, Peter Pan, The Anatomist, The Diary of Anne Frank, Androcles and the Lion, Jack and the Beanstalk, Saint Joan, Winchester '73, The Three Princes, Jail Bait, The Last Angry Man, The Law, The Red Badge of Courage, Friendly Persuasion, Cat on a Hot Tin Roof, Das Fräulein von Scuderi, Julius Caesar, Peter Pan, Peter Pan"
William Hickey,3,"Androcles and the Lion, Saint Joan"
Thomas Buck Mason,3,Peter Pan
Paul Schoeffler,2,Peter Pan
Jack,2,"Jack and the Beanstalk, Saint Joan, Winchester '73, Cat on a Hot Tin Roof"
Maurice Evans,2,"King Richard II, Saint Joan"
Crocodile,2,"Peter Pan, Peter Pan"
Nana,2,"Peter Pan, Peter Pan"
Norman Shelly,2,Peter Pan
Princess Serena,2,Jack and the Beanstalk
