Acteur,Nombre de films et séries,Films et séries
Peggi Loder,2,Return to Oz
Carl Banas,2,Return to Oz
,2,"The Merry Wives of Windsor, Hollywood: The Golden Years, Return to Oz, All's Well That Ends Well, The Glass Menagerie, Linda, Manhunter, Marie, The Morning After, Nightmare, Twice in a Lifetime, Force Five, The Impostor, My Father's House, The Prodigal Daughter, Brenda Starr, Cosmic Princess, The Heist"
Ford Rainey,2,"Linda, Manhunter"
John Vernon,1,The Impostor
Sheriff Turner,1,The Impostor
Margaret Elliott,1,The Impostor
Edward Asner,1,The Impostor
Barney West,1,The Impostor
Tom Lindholm Sr.,1,My Father's House
